indv	ef	lf	sex	pupation	pday	emergence	eday	adultsurvival	censor	eggs1	eggs2	eggs3	eggs4	eggs5	eggs6	wl	delta.1	delta46	size.day4
152	L	H	male	yes	8	yes	11	16	1	NA	NA	NA	NA	NA	NA	NA	1.2199	2.5098	1.9106
153	H	L	male	yes	7	yes	9	18	1	NA	NA	NA	NA	NA	NA	NA	2.2104	1.3789	3.0821
154	H	L	female	yes	8	yes	10	3	1	NA	NA	NA	NA	NA	NA	NA	2.2608	0.7537	3.2206
155	H	L	male	yes	8	yes	10	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
156	H	L	female	yes	8	yes	10	16	1	0	15	19	5	24	0	2.514628477	2.159	1.8656	3.0556
157	H	H	male	yes	7	yes	9	29	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
158	H	H	male	yes	7	yes	9	18	1	NA	NA	NA	NA	NA	NA	NA	2.1044	2.7553	2.8308
159	H	H	female	yes	7	yes	10	47	1	36	37	0	27	0	NA	2.189952069	2.8475	1.6101	3.6406
160	H	H	female	yes	7	yes	9	22	1	0	39	NA	NA	NA	NA	2.536237996	3.9036	1.0097	4.6551
161	L	L	male	yes	9	yes	11	16	1	NA	NA	NA	NA	NA	NA	NA	2.0078	1.5096	2.7117
162	L	L	female	yes	9	yes	11	58	0	0	0	0	0	0	0	2.136054623	1.3495	2.2151	2.2242
163	L	L	female	yes	9	yes	12	31	1	0	9	0	NA	NA	NA	2.083628759	1.4504	2.1466	2.3686
164	L	L	female	yes	9	yes	11	33	1	22	0	13	15	NA	NA	2.228631808	1.9039	1.916	2.5699
165	L	H	male	yes	8	yes	11	19	1	NA	NA	NA	NA	NA	NA	NA	1.5786	2.4026	2.4448
166	L	H	female	yes	9	yes	11	51	1	32	0	0	0	0	NA	2.453218271	1.6696	2.1932	2.5472
167	L	H	male	yes	8	yes	11	53	1	NA	NA	NA	NA	NA	NA	NA	1.7774	2.4509	2.5347
168	L	H	male	yes	8	yes	10	28	1	NA	NA	NA	NA	NA	NA	NA	1.6064	2.1844	2.6761
169	H	L	male	yes	7	yes	9	18	1	NA	NA	NA	NA	NA	NA	NA	2.7988	0.8623	3.7852
170	H	L	male	yes	7	yes	9	27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
171	H	L	female	yes	8	yes	10	28	1	39	0	0	NA	NA	NA	2.391761261	2.4063	NA	3.2946
172	H	L	female	yes	9	yes	11	15	1	0	42	NA	NA	NA	NA	2.532982647	1.9074	1.6766	2.848
173	H	H	male	yes	8	yes	11	25	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
174	H	H	female	yes	8	yes	10	32	1	0	24	22	NA	NA	NA	2.647112608	4.1203	1.5864	4.8621
175	H	H	male	yes	7	yes	9	30	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1716
176	H	H	female	yes	9	yes	11	32	1	55	46	6	NA	NA	NA	2.754437185	1.3001	2.8057	2.2742
177	L	L	NA	no	NA	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.7081	1.6946	2.693
178	L	L	female	yes	10	yes	13	56	0	0	0	0	0	24	0	2.268144059	1.5407	NA	2.7782
179	L	L	male	yes	9	yes	11	16	1	NA	NA	NA	NA	NA	NA	NA	2.072	NA	2.6931
180	L	L	female	yes	10	yes	12	57	0	20	22	0	0	24	0	2.386966579	NA	NA	NA
181	L	H	female	yes	9	yes	11	39	1	0	16	0	0	NA	NA	2.619271561	1.5951	3.2016	2.7486
