Animal,Sire,Dam,Bucket,Wing_Morph,Food,State_DLM,DLM_Mass,Ovary_Mass,Remaining_Mass,Total_Mass
870,21,3,A,L,Low,0,0,41.9,101.6,143.5
871,21,3,A,S,Med,1,1.1,67.4,96.5,165
872,21,3,A,L,AD,1,2.2,113.4,133.4,249
873,21,3,A,L,Low,2,4.9,7.3,120.6,132.8
874,21,3,A,L,Med,2,3.6,19.9,117.5,141
875,21,3,A,L,AD,2,5.6,34.4,192.2,232.2
876,21,3,A,L,Low,2,4.7,2.9,135.5,143.1
877,21,3,A,L,Med,2,5,12.1,138.3,155.4
878,21,3,A,L,AD,2,6.6,37.7,204.2,248.5
879,21,3,A,L,Low,2,4.5,10.7,122.7,137.9
880,21,3,A,L,Med,2,5.7,15.8,152.7,174.2
881,21,3,A,L,AD,2,4.8,23.9,154.5,183.2
882,21,3,B,L,Low,2,4.7,3.4,119.7,127.8
883,21,3,B,L,Med,2,4.4,11.3,133.2,148.9
884,21,3,B,L,AD,2,4.8,31.8,163.8,200.4
885,21,3,B,L,Low,2,5.5,4.3,121.5,131.3
886,21,3,B,L,Med,1,6,2.9,142.2,151.1
887,21,3,B,L,AD,1,4.9,24.9,149.6,179.4
888,21,3,B,L,Low,1,5.9,2.3,142.6,150.8
889,21,3,B,L,Med,1,4.5,13.4,130.2,148.1
890,21,3,B,L,AD,1,5.7,27.8,178.1,211.6
891,21,3,B,L,Low,1,4.4,5,129.5,138.9
892,21,3,B,L,Med,1,1.8,73.5,93.6,168.9
893,21,3,B,L,AD,2,6.9,51.5,212.1,270.5
894,21,3,B,L,Low,1,0.8,49.9,125.7,176.4
895,21,3,B,S,Med,1,1.2,68.1,102.5,171.8
896,21,3,B,L,AD,2,5.5,41.3,166.5,213.3
897,22,1,A,L,Low,2,4.9,1.3,123.5,129.7
898,22,1,A,L,Med,1,5.5,15.5,159.9,180.9
899,22,1,A,L,AD,1,6.6,56.3,180,242.9
900,22,1,A,L,Low,0,0,28.4,91.5,119.9
901,22,1,A,L,Med,1,5.2,32.4,193.1,230.7
902,22,1,A,L,AD,1,6.1,41.5,186.9,234.5
903,22,1,A,L,Low,1,6.2,8.7,151.4,166.3
904,22,1,A,L,Med,1,6.3,14.4,169.2,189.9
905,22,1,A,L,AD,2,5.4,52.1,180.8,238.3
906,22,1,A,L,Med,1,3,3.9,145.5,152.4
907,22,1,A,L,AD,2,4,49.1,143.3,196.4
908,22,1,A,L,AD,2,7.1,29.9,187.3,224.3
909,22,1,A,L,Low,1,5.5,3,134.2,142.7
910,22,1,A,L,Med,1,5.6,16.3,143.8,165.7
911,22,1,A,L,AD,2,5.1,31.8,189.8,226.7
912,22,1,B,L,Low,1,4.3,5.3,123,132.6
913,22,1,B,L,Med,1,2,56.2,115.9,174.1
914,22,1,B,L,AD,1,1.2,92.3,116.7,210.2
915,22,1,B,L,Low,2,4.3,6.1,150.3,160.7
916,22,1,B,L,Med,2,4.7,12.7,136,153.4
917,22,1,B,S,AD,0,0,112,130.5,242.5
918,22,1,B,S,Low,0,0,25.3,102.7,128
919,22,1,B,L,Med,0,0,82.8,116.6,199.4
920,22,1,B,L,AD,1,6.5,43.8,191.6,241.9
921,22,1,B,L,Low,1,4.6,7.5,137.9,150
922,22,1,B,L,Med,1,3.1,24.1,157.8,185
923,22,1,B,L,AD,1,4.6,57.5,148.3,210.4
924,22,1,B,L,Low,2,4.4,13.6,121,139
925,22,1,B,L,Med,2,4,24.7,127.6,156.3
926,22,1,B,L,AD,2,4.5,35.5,157.9,197.9
927,22,2,A,S,Low,0,0,33.2,74.2,107.4
928,22,2,A,L,Med,2,4.8,23.4,159.1,187.3
929,22,2,A,L,AD,0,0,114.4,129.2,243.6
930,22,2,A,L,Low,2,4.2,3.5,139.2,146.9
931,22,2,A,L,Med,0,0,17.4,127,144.4
932,22,2,A,L,AD,0,0,16.2,132.9,149.1
933,22,2,A,S,Low,0,0,46.4,72.4,118.8
934,22,2,A,L,Med,1,4.6,15.8,149.2,169.6
935,22,2,A,L,AD,1,1.8,104.6,110,216.4
936,22,2,A,L,Low,2,4.5,6.1,141.3,151.9
937,22,2,A,L,Med,0,0,58.5,102.6,161.1
938,22,2,A,L,AD,0,0,63,149.5,212.5
939,22,2,A,L,Low,1,1,32,112.9,145.9
940,22,2,A,L,Med,1,2.6,29.2,158.6,190.4
941,22,2,A,L,AD,1,2,7.3,195.9,205.2
942,22,2,B,L,Low,2,4.4,14.7,110.4,129.5
943,22,2,B,L,Med,1,1.1,57.8,123.1,182
944,22,2,B,L,AD,1,7.3,40.2,227.5,275
945,22,2,B,L,Low,2,4.9,9.1,143.1,157.1
946,22,2,B,L,Med,0,0,62.4,108.9,171.3
947,22,2,B,L,AD,2,5,71.6,148.7,225.3
948,22,2,B,L,Low,2,5.3,7.3,159.4,172
949,22,2,B,L,Med,1,1.8,67.5,141.2,210.5
950,22,2,B,L,AD,1,6.9,13.7,197.5,218.1
951,22,2,B,L,Low,1,5,14.1,141.4,160.5
952,22,2,B,L,Med,2,6,24.7,153.7,184.4
953,22,2,B,L,AD,1,2.5,70.7,148.9,222.1
954,22,2,B,L,Low,1,2,31.8,135.7,169.5
955,22,2,B,L,Med,1,4.3,34.9,152.8,192
956,22,2,B,L,AD,1,3.3,92.3,168.2,263.8
957,22,3,A,L,Low,2,4.8,2.7,125.7,133.2
958,22,3,A,L,Med,1,5.5,12.3,177.4,195.2
959,22,3,A,L,AD,1,2.4,50.5,168.1,221
960,22,3,A,L,Low,2,3.8,3.2,110.8,117.8
