species;M_mor;F_mor;F_bias;M_mass;F_mass;prod;prod_F;log_prod_F;mat_sys_bias;sex_dim;prehatch_bias;posthatch_bias;mean_bias;cavity_nest
Sterna_hirundo;0.09;0.09;0;124;126;42.55984131;0.337776518;-0.471370545;0;-0.00694886;0.25;0.3333335;0.29166675;0
Strix_nebulosa;0.09;0.16;0.655406853;884;1186;222.8435149;0.187895038;-0.726084689;1;-0.127632424;0.75;0.1666665;0.45833325;0
Strix_occidentalis;0.156;0.156;0;579;663;93.97233106;0.141738056;-0.848513528;0;-0.058834965;1;0.3333335;0.66666675;1
Sturnus_vulgaris;0.463;0.499;0.144271035;82.7;78.3;62.08690342;0.792936187;-0.100761762;4;0.023743747;0;0.3333335;0.16666675;1
Sylvia_atricapilla;0.577;0.549;-0.113838985;18.1;18;19.58844674;1.088247041;0.036727495;2;0.00240607;0.25;-0.1666665;0.04166675;0
Sylvia_borin;0.52;0.82;1.436304782;18.7;19.4;14.96235656;0.771255493;-0.11280173;3;-0.015960123;0.25;0.1666665;0.20833325;0
Sylvia_nisoria;0.5;0.51;0.040005335;22.8;26.3;16.74942876;0.636860409;-0.195955748;4;-0.062020901;0.5;0.1666665;0.33333325;0
Tadorna_tadorna;0.09;0.12;0.321204764;1261;1043;696.6265141;0.667906533;-0.175284308;0;0.082430778;1;-0.25;0.375;1
Tetrao_tetrix;0.32;0.44;0.512609746;1290;988;286.417797;0.289896556;-0.537756945;4;0.115832766;1;1;1;0
Tetrao_urogallus;0.19;0.37;0.917793362;4240;1985;389.045145;0.195992516;-0.707760511;4;0.329605345;1;1;1;0
Thalassarche_bulleri;0.094;0.099;0.057359116;3120;2780;257.0395783;0.09246028;-1.034044796;0;0.050109798;0.25;0;0.125;0
Thalassarche_chrysostoma;0.04;0.042;0.050875671;3900;3870;138.0384265;0.035668844;-1.447710965;0;0.003353642;0.25;0;0.125;0
Toxostoma_rufum;0.692;0.795;0.545845963;69;68;41.87935651;0.61587289;-0.210508913;1;0.006340178;0.25;0;0.125;0
Tringa_totanus;0.25;0.276;0.134221762;123;135;91.20108394;0.675563585;-0.170333768;0;-0.040428657;0.5;0;0.25;0
Troglodytes_aedon;0.619;0.767;0.70614245;10.9;12;22.02926463;1.835772053;0.263818754;3;-0.041754748;0.75;0.3333335;0.54166675;1
Turdus_merula;0.346;0.362;0.069974505;94.6;97.1;111.6863248;1.150219617;0.06078077;1;-0.011328094;0.6666665;0.3333335;0.5;0
Turdus_migratorius;0.602;0.608;0.025107602;84.9;75;58.47900841;0.779720112;-0.108061263;0;0.053846427;0.6666665;0.3333335;0.5;0
Tympanuchus_cupido;0.55;0.51;-0.160665361;933;795;250.0345362;0.314508851;-0.502367129;3;0.069514515;1;1;1;0
Uria_aalge;0.094;0.067;-0.367968058;981;985;107.8946722;0.109537738;-0.96043623;0;-0.001767223;0;0;0;0
Uria_lomvia;0.11;0.13;0.189782336;961;928;98.40111058;0.10603568;-0.974547976;0;0.015175411;0;-0.1666665;-0.08333325;0
Vireo_bellii;0.32;0.57;1.035622955;10.3;9.3;11.29795915;1.214834317;0.084517051;0;0.044354276;0.5;0.25;0.375;0
Zenaida_macroura;0.639;0.737;0.459407364;130;123;38.99419867;0.317026005;-0.498905111;0;0.024038241;0;0.3333335;0.16666675;0
Zonotrichia_leucophrys;0.63;0.69;0.267902486;30.7;27.1;16.44371723;0.606779234;-0.216969291;2;0.054169085;1;0;0.5;0
